,id,baseDomain,originAttributes,name,value,host,path,expiry,lastAccessed,creationTime,isSecure,isHttpOnly,inBrowserElement,sameSite
0,1,riot.im,,__cfduid,d1481b8bc7ad2c3c4a76a4762c68359b51533117954,.riot.im,/,1564653954,1533117959826976,1533117959826976,0,1,0,0
1,2,discordapp.com,,__cfduid,d30325f8ca08e073785414d1ca820ebcb1533117959,.discordapp.com,/,1564653959,1533117959999378,1533117959999275,0,1,0,0
2,3,wikipedia.org,,WMF-Last-Access,01-Aug-2018,www.wikipedia.org,/,1535846400,1533117960469368,1533117960469368,1,1,0,0
3,4,wikipedia.org,,WMF-Last-Access-Global,01-Aug-2018,.wikipedia.org,/,1535846400,1533117960469476,1533117960469476,1,1,0,0
4,5,creativecommons.org,,__cfduid,d354a5fc4fa31bc459cd5a4370bb557091533117960,.creativecommons.org,/,1564653960,1533117960590276,1533117960590276,0,1,0,0
5,13,google.com,,CONSENT,WP.26fd3c,.google.com,/,2145916800,1533121545337884,1533117971004152,0,0,0,0
6,15,mozilla.org,,_ga,GA1.2.1296000722.1533117964,.mozilla.org,/,1596190033,1533121487142121,1533117963700128,0,0,0,0
7,16,mozilla.org,,_gid,GA1.2.506101273.1533117964,.mozilla.org,/,1533204433,1533121487142121,1533117963700331,0,0,0,0
8,17,mozilla.org,,_gat_UA-36116321-1,1,.mozilla.org,/,1533118093,1533118033290661,1533118033290661,0,0,0,0
9,19,vox.com,,_chorus_privacy_consent,1533121142580-99e65e1aa97bb57dddb7aeae41273ce0,www.vox.com,/,2163841142,1533121544880744,1533121142580839,0,0,0,0
10,20,voxmedia.com,,_chorus_privacy_consent,1533121142580-99e65e1aa97bb57dddb7aeae41273ce0,auth.voxmedia.com,/,2164276745,1533121546738795,1533121145163360,0,0,0,0
11,21,voxmedia.com,,_chorus_geoip_continent,EU,auth.voxmedia.com,/,1533207545,1533121546738795,1533121145163444,0,0,0,0
12,22,vox.com,,_vm_suid,eede23ec-7088-416e-b66a-d8f1214cb703,www.vox.com,/,2147483647,1533121544880744,1533121147789634,0,0,0,0
13,23,voxmedia.com,,_vm_uid,4f042b41-d912-4fd7-9be0-0af6a5b93477,.voxmedia.com,/,2147483647,1533121544904392,1533121149773664,0,0,0,0
14,24,vox.com,,_vm_uid,4f042b41-d912-4fd7-9be0-0af6a5b93477,www.vox.com,/,2147483647,1533121544880744,1533121149774232,0,0,0,0
15,33,vox.com,,chorus_optimize_tracker_id,42937705-c949-477d-a3e0-3a19fcb95bb6,www.vox.com,/,1619521154,1533121544880744,1533121154574731,0,0,0,0
16,34,voxmedia.com,,chorus_optimize_tracker_id,8e82526d-eaaa-4489-a36b-0a008c65ef31,optimize-stats.voxmedia.com,/,1673819258,1533121544904392,1533121154572874,0,0,0,0
17,38,scorecardresearch.com,,UID,1AE2aa16a10176a21c840521533121170,.scorecardresearch.com,/,1595329170,1533121545413559,1533121170789954,0,0,0,0
18,39,scorecardresearch.com,,UIDR,1533121170,.scorecardresearch.com,/,1595329170,1533121545413559,1533121170790001,0,0,0,0
19,40,vox.com,,AMP_TOKEN,%24NOT_FOUND,.vox.com,/,1533124770,1533121544880744,1533121166159353,0,0,0,0
20,48,facebook.com,,fr,0fhwvrPinK63X8V13..BbYZKZ...1.0.BbYZKZ.,.facebook.com,/,1540897177,1533121545601805,1533121173714898,1,1,0,0
21,50,agkn.com,,ab,0001%3AAxNIU15iT8R1xCsxqh45WhhKbDfp4LyO1ywfLew%2FCjlHpLkdXvCWeQ%3D%3D,.agkn.com,/,1564657181,1533121181996111,1533121177039747,0,0,0,0
22,51,agkn.com,,u,C|0AAAAAAAAIvRPHQAAAAAA,.agkn.com,/,1564657181,1533121181996177,1533121181996177,0,0,0,0
23,57,twitter.com,,personalization_id,"""v1_ZvfaTYysDNZJ2aQg6VFaZA==""",.twitter.com,/,1596193191,1533121546652281,1533121191459838,0,0,0,0
24,58,vox.com,,_cb_ls,1,www.vox.com,/,1567249191,1533121544880744,1533121191520278,0,0,0,0
25,63,vox.com,,__gads,ID=3c23da66106de3d4:T=1533121189:S=ALNI_MaQz2fPOnGJWkyeAncibSush74q9w,.vox.com,/,1596193189,1533121544880744,1533121192681436,0,0,0,0
26,73,doubleclick.net,,IDE,AHWqTUnxDo_xeCgSLb_9HDDQkoZj-LEEVUb19OkDE5M_kRMdPLEYPvo5QL9JNOAA,.doubleclick.net,/,1566817195,1533121545338162,1533121195268544,0,1,0,0
27,84,trustx.org,,tuuid,31d1f912-6f8b-4e09-a89a-7e2a46bc92f4,sofia.trustx.org,/,1596193201,1533121547071652,1533121200772179,0,0,0,0
28,85,trustx.org,,tuuid_last_update,1533121201,sofia.trustx.org,/,1596193201,1533121547071652,1533121200772235,0,0,0,0
29,89,mathtag.com,,uuid,a3955b61-87ed-4000-9024-696f28bd32cc,.mathtag.com,/,1567076402,1533121551706535,1533121202699487,0,0,0,0
30,91,mathtag.com,,uuidc,lAUzglXknQHSz3b6mjxXIsZgLYALUDfAaO0tH7DSGancJNCVylkNdyGplAlCruT8FyIzq5cTxs2I7UQaqut/r7Wm4ZK3weLkdoMpxqUQLGI=,.mathtag.com,/,1567076403,1533121551706535,1533121203298551,0,0,0,0
31,96,quantserve.com,,d,EDgBCQGrG5EA,.quantserve.com,/,1540897203,1533121203665980,1533121203665980,0,0,0,0
32,97,quantserve.com,,mc,5b6192b3-9e8e2-17ad9-ba62e,.quantserve.com,/,1567335603,1533121203666065,1533121203666065,0,0,0,0
33,102,bing.com,,ANONCHK,1,.c.bing.com,/,1533121804,1533121204054595,1533121204054595,0,0,0,0
34,103,bing.com,,MUID,2297BC6F9F386C6E2BBEB0519B386F76,.bing.com,/,1566817204,1533121204054638,1533121204054638,0,0,0,0
35,104,bing.com,,MUIDB,34ACC5A6CF826E2B0808C998CEC26F8A,c.bing.com,/,1566817204,1533121204054679,1533121204054679,0,1,0,0
